method,steiner_methods,p_bar,steiner_points,energy,time
local,"midpoint,centroid,circumcenter,mean_of_adjacent",0.24559228773861738,15.246753246753247,21.095238095238095,1.3771893286601806
local,"midpoint,centroid,mean_of_adjacent",0.2402777584122522,15.168067226890756,19.38235294117647,1.3777389816877221
local,"midpoint,circumcenter",0.0,15.485477178423237,24.365145228215766,1.5203612988420543
local,"midpoint,circumcenter,mean_of_adjacent",0.0,15.038297872340426,19.83404255319149,1.3709079306176368
local,"midpoint,mean_of_adjacent",0.0,14.815126050420169,21.340336134453782,1.2451000474080318
local,projection,0.0,15.016129032258064,22.991935483870968,1.404574893174633
local,"projection,centroid",0.2502521143167923,15.55,23.25,1.4995487123727798
local,"projection,centroid,circumcenter",0.25708371534253804,15.047619047619047,20.476190476190474,1.2864960653957351
local,"projection,centroid,circumcenter,mean_of_adjacent",0.2476664590852007,15.168831168831169,20.78787878787879,1.3682344589398536
local,"projection,centroid,mean_of_adjacent",0.2433673457359562,15.333333333333334,19.273504273504273,1.4246366686291165
local,"projection,circumcenter",0.0,15.447698744769875,23.732217573221757,1.5173656002746965
local,"projection,circumcenter,mean_of_adjacent",0.0,14.564655172413794,20.661637931034484,1.105361641481005
local,"projection,mean_of_adjacent",0.0,15.072340425531914,20.08936170212766,1.279759853444201
local,"projection,midpoint",0.0,15.438016528925619,24.181818181818183,1.5489459037780762
local,"projection,midpoint,centroid",0.25375312358880664,15.051502145922747,21.22532188841202,1.29777896967057
local,"projection,midpoint,centroid,circumcenter",0.26789776137379956,15.74561403508772,22.390350877192983,1.3840125820092988
local,"projection,midpoint,centroid,circumcenter,mean_of_adjacent",0.25141575069291655,14.865800865800866,20.4978354978355,1.1935323358098149
local,"projection,midpoint,centroid,mean_of_adjacent",0.24944871084247042,15.056277056277056,19.848484848484848,1.3192875436890177
local,"projection,midpoint,circumcenter",0.0,14.491304347826087,21.55,1.2370831323706586
local,"projection,midpoint,circumcenter,mean_of_adjacent",0.0,14.892703862660944,19.781115879828327,1.3443309431935584
local,"projection,midpoint,mean_of_adjacent",0.0,14.991525423728813,20.89406779661017,1.3943442874035592
sa,centroid,0.6222886733486783,31.5929203539823,40.56637168141593,1.6743627776086858
sa,"centroid,circumcenter",0.5404371464191356,35.573991031390136,41.81390134529148,1.8215420919683483
sa,"centroid,circumcenter,mean_of_adjacent",0.5607784701726185,35.35585585585586,40.32657657657658,1.8189630562120729
sa,"centroid,mean_of_adjacent",0.6388017355773047,32.01754385964912,37.31578947368421,1.784303417331294
sa,circumcenter,0.44281418661489075,29.87719298245614,35.333333333333336,1.5327227753505372
sa,"circumcenter,mean_of_adjacent",0.45692369000667243,30.611607142857142,37.296875,1.511854081281594
sa,mean_of_adjacent,0.3114401454755202,18.54625550660793,28.400881057268723,0.9638642477043925
sa,midpoint,0.7404165686701026,38.229729729729726,42.87162162162162,1.7402833152461696
sa,"midpoint,centroid",0.644983214411465,38.25438596491228,44.64473684210526,1.9071406512929683
sa,"midpoint,centroid,circumcenter",0.684911288744006,39.54337899543379,42.96803652968037,1.478419114465583
sa,"midpoint,centroid,circumcenter,mean_of_adjacent",0.6384745244832579,40.04147465437788,41.6705069124424,1.6053686614410119
sa,"midpoint,centroid,mean_of_adjacent",0.6602613375365509,36.90625,42.283482142857146,1.6941949725151062
sa,"midpoint,circumcenter",0.7273284958480766,41.48898678414097,45.0,1.6931877409309017
sa,"midpoint,circumcenter,mean_of_adjacent",0.773277211198631,42.308035714285715,43.109375,1.9446559473872185
